100
0,1,94
0,5,47
0,6,18
0,13,56
0,14,80
0,15,22
0,20,85
0,25,76
0,26,72
0,35,42
0,49,47
0,54,74
0,58,68
0,59,48
0,64,21
0,65,88
0,66,8
0,67,6
0,70,77
0,71,47
0,76,75
0,77,85
0,80,1
0,82,22
0,86,14
0,88,8
0,90,8
0,91,38
0,92,40
0,93,16
0,95,21
0,98,40
1,6,99
1,7,22
1,8,84
1,10,37
1,13,84
1,20,28
1,21,15
1,23,28
1,31,70
1,33,77
1,37,84
1,48,7
1,52,13
1,56,45
1,59,50
1,60,67
1,65,77
1,66,54
1,67,25
1,70,22
1,75,42
1,76,92
1,81,58
1,87,38
1,88,18
1,89,34
1,96,67
1,97,16
1,99,9
2,8,90
2,13,28
2,16,57
2,28,64
2,31,48
2,33,85
2,35,56
2,37,60
2,41,63
2,42,22
2,48,32
2,49,95
2,52,40
2,54,92
2,58,22
2,59,62
2,64,89
2,66,41
2,68,44
2,69,46
2,70,40
2,74,57
2,78,12
2,79,50
2,81,40
2,86,97
2,94,42
2,97,28
2,99,74
3,2,46
3,6,20
3,7,16
3,14,75
3,15,59
3,17,79
3,32,29
3,38,24
3,40,69
3,41,71
3,43,5
3,44,99
3,47,100
3,48,68
3,60,63
3,68,65
3,72,12
3,73,76
3,77,84
3,81,88
3,86,74
3,88,31
3,90,31
3,95,88
4,9,10
4,11,24
4,13,82
4,18,25
4,20,61
4,23,70
4,29,72
4,33,66
4,36,16
4,46,37
4,49,55
4,51,12
4,52,30
4,56,40
4,59,94
4,63,74
4,65,100
4,66,16
4,68,78
4,69,41
4,71,83
4,72,31
4,75,33
4,77,100
4,78,14
4,79,50
4,86,41
4,93,72
4,95,37
4,96,46
5,0,80
5,11,89
5,12,11
5,14,72
5,15,42
5,16,60
5,23,70
5,26,62
5,30,5
5,35,74
5,36,40
5,44,57
5,46,94
5,55,6
5,66,1
5,67,23
5,71,82
5,73,70
5,78,13
5,84,41
5,86,43
5,91,16
5,92,43
6,1,90
6,2,85
6,9,62
6,12,47
6,14,60
6,16,40
6,21,64
6,28,77
6,30,71
6,31,68
6,34,63
6,41,35
6,42,1
6,46,56
6,49,97
6,50,2
6,55,49
6,58,41
6,59,29
6,61,57
6,70,72
6,71,1
6,74,56
6,75,75
6,79,33
6,84,44
6,89,97
6,90,21
6,91,48
6,92,52
6,97,94
6,98,11
7,0,3
7,3,31
7,8,68
7,9,75
7,12,8
7,16,8
7,18,56
7,23,49
7,26,99
7,30,8
7,34,75
7,35,70
7,36,81
7,37,84
7,40,76
7,42,24
7,43,48
7,44,97
7,48,74
7,51,39
7,60,100
7,64,21
7,71,22
7,79,8
7,80,79
7,81,63
7,89,12
7,90,26
7,92,99
7,97,27
8,3,18
8,4,82
8,11,40
8,15,32
8,17,59
8,24,4
8,25,96
8,26,54
8,31,6
8,44,69
8,48,22
8,50,84
8,53,36
8,54,83
8,55,36
8,58,21
8,61,35
8,64,71
8,66,71
8,67,75
8,69,89
8,72,24
8,75,1
8,77,89
8,78,33
8,82,44
8,84,16
8,87,83
8,89,5
8,91,23
8,94,23
8,98,38
9,4,64
9,8,82
9,17,74
9,22,27
9,26,2
9,29,90
9,35,69
9,39,75
9,40,13
9,42,47
9,43,11
9,48,55
9,49,55
9,51,4
9,53,49
9,57,39
9,61,62
9,66,95
9,71,21
9,74,73
9,79,43
9,81,7
9,89,22
9,96,45
9,97,27
10,0,8
10,15,100
10,21,92
10,30,62
10,32,45
10,34,99
10,35,34
10,37,69
10,38,55
10,39,68
10,41,84
10,44,84
10,46,69
10,53,92
10,54,14
10,55,20
10,59,27
10,60,7
10,65,91
10,67,100
10,68,86
10,71,61
10,73,13
10,74,58
10,77,60
10,78,79
10,81,39
10,85,1
10,87,4
10,90,27
10,94,99
11,5,96
11,7,66
11,13,89
11,19,13
11,20,15
11,24,1
11,25,23
11,28,86
11,29,39
11,30,6
11,33,28
11,47,43
11,55,83
11,56,18
11,57,52
11,58,97
11,63,18
11,64,28
11,70,19
11,73,16
11,74,10
11,77,74
11,82,16
11,83,90
11,89,60
11,91,78
11,92,74
11,95,90
12,1,21
12,3,31
12,18,36
12,23,56
12,25,50
12,33,56
12,35,99
12,36,34
12,37,89
12,42,35
12,45,67
12,47,5
12,50,18
12,56,79
12,60,22
12,63,3
12,72,40
12,73,50
12,74,84
12,75,68
12,77,19
12,80,52
12,84,59
12,87,97
12,88,75
12,96,88
13,3,65
13,4,23
13,6,69
13,7,26
13,8,94
13,10,31
13,11,62
13,19,51
13,21,4
